Pregunta,Clase,Tema,Manuales,Botones
compartir pantalla,videoconferencia,5.0,mal,mal
es posible compartir pantalla,videoconferencia,5.0,bien,
como creo una sala de bbc,videoconferencia,1.0,mal,bien
como creo un cuestionario,cuestionarios,1.0,,
como grabo una clawse,videoconferencia,7.0,,
se puede compartir la camara,videoconferencia,3.0,mal,
como comparto una pizarra en b lanco,videoconferencia,5.0,bien,
como creo una sala de bbc,videoconferencia,1.0,,
como creo una sala de bbc,videoconferencia,1.0,bien,
como creo una sala de bbc,videoconferencia,1.0,bien,
como creo una sala de bbc,videoconferencia,1.0,mal,
